Grandes grupos, subgrupos principais, subgrupos e grupos de base da ocupação no trabalho principal;Total;Homens;Mulheres
3.3.4.4 Secretários de medicina;69461;4983;64478
3.3.5 Agentes da administração pública para aplicação da lei e afins;81158;58004;23154
3.3.5.1 Agentes aduaneiros e inspetores de fronteiras;472;367;105
3.3.5.2 Agentes da administração tributária;48747;35551;13196
3.3.5.3 Agentes de serviços de seguridade social;8344;3621;4723
3.3.5.4 Agentes de serviços de expedição de licenças e permissões;576;382;194
3.3.5.5 Inspetores de polícia e detetives;16794;13350;3444
3.3.5.9 Agentes da administração pública para aplicação da lei e afins não classificados anteriormente;6226;4732;1493
3.4 Profissionais de nível médio de serviços jurídicos, sociais, culturais e afins;637187;349683;287504
3.4.1 Profissionais de nível médio de serviços jurídicos, sociais e religiosos;245483;119810;125674
3.4.1.1 Profissionais de nível médio do direito e serviços legais e afins;190329;94256;96073
3.4.1.2 Trabalhadores e assistentes sociais de nível médio;26056;5153;20902
3.4.1.3 Auxiliares leigos de religião;29099;20400;8699
3.4.2 Trabalhadores do esporte e condicionamento físico;184318;120752;63566
3.4.2.1 Atletas e esportistas;20933;19257;1676
3.4.2.2 Treinadores, instrutores e árbitros de atividades esportivas;22606;18436;4170
3.4.2.3 Instrutores de educação física e atividades recreativas;140779;83059;57720
3.4.3 Profissionais de nível médio em atividades culturais, artísticas e culinárias;207386;109121;98265
3.4.3.1 Fotógrafos;73848;48742;25105
3.4.3.2 Desenhistas e decoradores de interiores;49156;18580;30576
3.4.3.3 Técnicos em galerias de arte, museus e bibliotecas;2334;637;1697
3.4.3.4 Chefes de cozinha;64733;25880;38854
3.4.3.5 Outros profissionais de nível médio em atividades culturais e artísticas;17315;15283;2032
3.5 Técnicos de nível médio da tecnologia da informação e das comunicações;456302;391175;65127
3.5.1 Técnicos em operações de tecnologia da informação e das comunicações e assistência ao usuário;315687;268899;46788
3.5.1.1 Técnicos em operações de tecnologia da informação e das comunicações;43358;32707;10651
3.5.1.2 Técnicos em assistência ao usuário de tecnologia da informação e das comunicações;101253;82502;18751
3.5.1.3 Técnicos de redes e sistemas de computadores;168626;151886;16740
3.5.1.4 Técnicos da web;2450;1804;646
3.5.2 Técnicos em telecomunicações e radiodifusão;140615;122276;18339
3.5.2.1 Técnicos de radiodifusão e gravação audiovisual;67034;57678;9356
3.5.2.2 Técnicos de engenharia de telecomunicações;73581;64598;8983
4 Trabalhadores de apoio administrativo;6004563;2189635;3814928
4.1 Escriturários;3173433;944016;2229417
4.1.1 Escriturários gerais;2095908;802879;1293029
4.1.1.0 Escriturários gerais;2095908;802879;1293029
4.1.2 Secretários (geral);1003805;105586;898219
4.1.2.0 Secretários (geral);1003805;105586;898219
4.1.3 Operadores de máquinas de escritório;73719;35550;38169
4.1.3.1 Operadores de máquinas de processamento de texto e mecanógrafos;4493;1491;3002
4.1.3.2 Operadores de entrada de dados;69226;34059;35167
4.2 Trabalhadores de atendimento direto ao público;1622598;413137;1209461
