Level;CIUO-88 Título SP;Código CIUO-88;Código CIUO-08; CIUO-08 parte;CIUO-08 Título SP;
4;Profesionales de la informática, no clasificados bajos otros epígrafes;2139;2529;p;Especialistas en bases de datos y en redes de computadores no clasificados bajo otros epígrafes;
4;Profesionales de la informática, no clasificados bajos otros epígrafes;2139;3513;p;Técnicos en redes y sistemas de computadores;
4;Arquitectos, urbanistas e ingenieros de tránsito;2141;2161;;Arquitectos;
4;Arquitectos, urbanistas e ingenieros de tránsito;2141;2162;;Arquitectos paisajistas;
4;Arquitectos, urbanistas e ingenieros de tránsito;2141;2164;;Urbanistas e ingenieros de tránsito;
4;Ingenieros civiles;2142;2142;;Ingenieros civiles;
4;Ingenieros electricístas;2143;2151;;Ingenieros electricistas;
4;Ingenieros electronicistas y de telecomunicaciones;2144;2152;;Ingenieros electrónicos;
4;Ingenieros electronicistas y de telecomunicaciones;2144;2153;;Ingenieros en telecomunicaciones;
4;Ingenieros mecánicos;2145;2144;;Ingenieros mecánicos;
4;Ingenieros químicos;2146;2145;;Ingenieros químicos;
4;Ingenieros de minas y metalúrgicos y afines;2147;2146;;Ingenieros de minas, metalúrgicos y afines;
4;Cartógrafos y agrimensores;2148;2165;;Cartógrafos y agrimensores;
4;Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes;2149;2141;;Ingenieros industriales y de producción;
4;Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes;2149;2143;;Ingenieros medioambientales;
4;Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes;2149;2149;;Ingenieros no clasificados bajo otros epígrafes;
4;Biólogos, botánicos, zoólogos y afines;2211;2131;p;Biólogos, botánicos, zoólogos y afines;
4;Biólogos, botánicos, zoólogos y afines;2211;2133;;Profesionales de la protección medioambiental;
4;Farmacólogos, patólogos y afines;2212;2131;p;Biólogos, botánicos, zoólogos y afines;
4;Farmacólogos, patólogos y afines;2212;2212;;Médicos especialistas ;
4;Farmacólogos, patólogos y afines;2212;2250;p;Veterinarios;
4;Agrónomos y afines;2213;2132;p;Agrónomos y afines;
4;Médicos;2221;2211;;Médicos generales;
4;Médicos;2221;2212;;Médicos especialistas ;
4;Odontólogos;2222;2261;;Dentistas;
4;Veterinarios;2223;2250;p;Veterinarios;
4;Farmacéuticos;2224;2262;p;Farmacéuticos;
4;Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes;2229;2263;p;Profesionales de la salud y la higiene laboral y ambiental;
4;Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes;2229;2269;p;Profesionales de la salud no clasificados bajo otros epígrafes;
4;Personal de enfermería y partería de nivel superior;2230;1342;p;Directores de servicios de salud;
4;Personal de enfermería y partería de nivel superior;2230;1343;p;Directores de servicios de cuidado de las personas de edad;
4;Personal de enfermería y partería de nivel superior;2230;2221;p;Profesionales de enfermería;
4;Personal de enfermería y partería de nivel superior;2230;2222;p;Profesionales de partería;
4;Personal de enfermería y partería de nivel superior;2230;3221;p;Profesionales de nivel medio de enfermería;
4;Personal de enfermería y partería de nivel superior;2230;3222;p;Profesionales de nivel medio de partería;
4;Profesores de universidades y otros establecimientos de la enseñanza superior;2310;2310;;Profesores de universidades y de la enseñanza superior;
4;Profesores de universidades y otros establecimientos de la enseñanza superior;2310;2320;p;Profesores de formación profesional;
4;Profesores de la enseñanza secundaria;2320;2320;p;Profesores de formación profesional;
4;Profesores de la enseñanza secundaria;2320;2330;;Profesores de enseñanza secundaria;
4;Maestros de nivel superior de la enseñanza primaria;2331;2341;p;Maestros de enseñanza primaria;
4;Maestros de nivel superior de la enseñanza preescolar;2332;2342;p;Maestros preescolares;
4;Maestros e instructores de nivel superior de la enseñanza especial;2340;2352;p;Educadores para necesidades especiales;
4;Especialistas en métodos pedagógicos y material didáctico;2351;2351;p;Especialistas en métodos pedagógicos;
4;Inspectores de la enseñanza;2352;2351;p;Especialistas en métodos pedagógicos;
4;Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes;2359;2353;p;Otros profesores de idiomas;
4;Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes;2359;2354;;Otros profesores de música;
4;Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes;2359;2355;p;Otros profesores de artes;
